sample_name,sample_type,nucleotide_type,collection_date,collection_location,host_genus_species
RR034B_266_fecRa_S171,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_267_fecRa_S173,feces,RNA,7/29/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_268_fecRa_S175,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_269_fecRa_S177,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_270_fecRa_S179,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_271_fecRa_S181,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_272_fecRa_S197,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_274_fecRa_S1,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_275_fecRa_S3,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_276_fecRa_S5,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_277_fecRa_S7,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_278_fecRa_S9,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_279_fecRa_S25,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
RR034B_280_fecRa_S27,feces,RNA,9/11/18,"Maromizaha, Analamanga, Madagascar",Rousettus madagascariensis
